Alue,M_A,M_BC,M_DEF,M_GHUX,M_JKLM,M_NO,M_P,M_Q
Alajärvi,-1.95832697777801,-5.35536286815524,0.430586344315598,2.80159621879186,-0.206513402365791,1.47985649729263,0.250088573176818,2.55807561472212
Alavieska,0.4622127389637,-1.12222830944898,-4.88307718923907,1.72659381217381,1.40566881001125,-1.55531847409244,0.520169545284161,3.44597906634757
Alavus,-0.662327264100586,-1.23870668010992,-0.345208205655392,1.0814733540254,-2.0463726284852,0.406839583786384,0.2581565611635,2.54614527937581
Asikkala,-2.7259745689068,-5.24005467638065,-1.18808393106267,2.75490983564205,0.0252713855577316,2.41852170223293,-0.0973277153821943,4.0527379682996
Askola,-1.73443223443223,0.523809523809526,-5.43223443223443,0.0256410256410255,0.573260073260073,-1.14285714285714,2.36080586080586,4.82600732600732
Aura,-1.97191904396134,-7.62461073102184,3.2165079818748,1.46942712706097,0.339460412163651,2.13417647654264,0.883633137433534,1.55332463990759
Akaa,-0.39161081775841,-4.2890331624055,0.632869563766326,2.33589987032459,-1.11503778787679,1.25168691547348,0.436790561694585,1.13843485678172
Brändö,0.0811359026369196,-0.689655172413793,-0.649087221095334,5.41075050709939,-3.63590263691684,3.2606490872211,1.00912778904665,-4.78701825557809
Eckerö,-3.48794063079777,0.421069613616197,-1.12930547713156,-2.8039041703638,0.867951923852545,-3.75897394530935,3.01201903686376,6.87908364926998
Enonkoski,-6.31425840938449,-2.88014198548639,-1.73438632234486,7.34816899633484,-0.578128774114953,1.28017979227271,0.278825049096313,2.59974165362683
Enontekiö,2.86082903446519,2.07569619592806,-1.86000036116512,2.97519798871159,1.16957304263554,-7.5517619841609,-0.126407791535494,0.45687387512114
Espoo,-0.0112329103182846,-1.18927651563811,0.121996857867538,-0.191217292799351,0.981734270078181,-0.166743140558562,0.187297009525153,0.26744172184344
Eura,-0.168043668883888,-3.80606738759772,0.385959419139215,1.54053070448336,0.16869570078918,0.681206153362184,-0.237426551113684,1.43514562982136
Eurajoki,-2.00247754426863,-2.41542647597699,0.195476928764926,-0.740366441220889,2.23570297780155,3.22440620019191,-1.19873900880908,0.701423363517205
Evijärvi,-1.71302192244601,0.558044955950717,0.874067785062549,-1.19030024789187,0.0659298041496994,0.107437280212149,0.920187202909716,0.377655142053047
Finström,1.92692230633547,4.53713925041871,-0.0767364234802983,3.27819048704058,1.76323539618125,-0.107640512117415,0.0729388871647192,-11.394049391543
Forssa,-0.0584951741688684,-4.69568490877594,0.314250252979809,3.10465717239616,0.664289887687797,-1.37384205020804,0.504896670454639,1.53992814963445
Föglö,-11.498660374112,1.8238576309515,0.722660570754369,7.84357102475235,2.43836491900794,-3.64525723275078,-1.33470982965858,3.65017329105523
Geta,-3.82396785274483,-0.00648130144533043,-7.03221206818329,7.86181865318556,4.13507032212068,-1.45181152375397,0.531466718517078,-0.213882947695897
Haapajärvi,0.187700498259504,-4.44679544058426,0.0232066070575394,1.41765067230906,-0.665483584738243,0.883216162719268,-0.339225991399904,2.93973107637704
