Alue;VP_A;VP_BC;VP_DEF;VP_GHUX;VP_JKLM;VP_NO;VP_P;VP_Q
Alajärvi;12.9952056522836;25.6119101690638;6.83825384809488;20.2876608629826;6.00555134998738;5.14761544284633;9.66439565985365;13.4494070148877
Alavieska;25.7403189066059;17.1981776765376;11.8451025056948;20.0455580865604;2.39179954441913;6.49202733485194;4.66970387243736;11.6173120728929
Alavus;12.0084811102544;17.3284502698535;6.07170393215112;30.4356206630686;7.13184271395528;6.11025443330763;5.72474942174248;15.1888974556669
Asikkala;13.6781609195402;29.3103448275862;7.93103448275862;19.8850574712644;5.28735632183908;5.01915708812261;5.28735632183908;13.6015325670498
Askola;12.2344322344322;16.1904761904762;25.8608058608059;16.1172161172161;2.78388278388278;8.57142857142857;8.42490842490843;9.81684981684982
Aura;6.91573926868045;36.0890302066773;7.86963434022258;22.5755166931638;5.80286168521463;7.15421303656598;2.86168521462639;10.731319554849
Akaa;4.24007744433688;31.8296224588577;7.14424007744434;23.6011616650532;5.324298160697;9.91287512100678;4.99515972894482;12.9525653436592
Brändö;23.448275862069;0.689655172413793;12.4137931034483;26.2068965517241;11.7241379310345;4.82758620689655;4.13793103448276;16.551724137931
Eckerö;18.1818181818182;0.395256916996047;15.4150197628458;39.1304347826087;1.58102766798419;9.88142292490119;4.74308300395257;10.6719367588933
Enonkoski;27.1662763466042;4.44964871194379;9.13348946135831;22.248243559719;3.04449648711944;6.79156908665105;3.98126463700234;23.1850117096019
Enontekiö;11.444921316166;1.43061516452074;9.01287553648069;34.1917024320458;4.72103004291846;20.3147353361946;6.43776824034335;12.4463519313305
Espoo;0.1514356269521;13.0372307930581;6.24155703358257;30.1640839435214;21.8127532889925;9.24445668166682;8.32465733387254;11.023825298354
Eura;7.72091375951833;42.2879404993802;9.52718257481849;18.1158137063928;3.40003541703559;5.7198512484505;3.82503984416504;9.40322295023907
Eurajoki;7.40889066880256;10.6928313976772;44.7336804164998;12.8954745694834;3.80456547857429;7.8494193031638;5.48658390068082;7.12855426511814
Evijärvi;28.7287287287287;12.1121121121121;7.60760760760761;19.6196196196196;3.7037037037037;4.6046046046046;8.60860860860861;15.015015015015
Finström;9.77917981072555;16.5089379600421;9.04311251314406;19.1377497371188;4.83701366982124;3.47003154574133;11.882229232387;25.34174553102
Forssa;2.15680261678422;30.2463457017275;8.56587958703874;24.0110395584177;7.89123990595932;10.0684861494429;5.23356843504038;11.8266380455893
Föglö;20.4188481675393;0.523560209424084;2.09424083769634;37.696335078534;3.66492146596859;12.565445026178;8.37696335078534;14.6596858638743
Geta;26.1261261261261;3.6036036036036;9.90990990990991;28.8288288288288;0.900900900900901;7.20720720720721;4.5045045045045;18.9189189189189
Haapajärvi;11.0832025117739;23.6106750392465;7.53532182103611;18.1475667189953;5.18053375196232;13.0298273155416;8.13186813186813;13.2810047095761
Haapavesi;14.616935483871;25.4032258064516;7.79569892473118;17.1706989247312;3.59543010752688;6.28360215053763;10.4166666666667;14.7177419354839
Hailuoto;24.2677824267782;2.09205020920502;2.09205020920502;26.7782426778243;5.85774058577406;12.9707112970711;7.11297071129707;18.8284518828452
Halsua;35.5748373101952;12.7982646420824;6.72451193058568;15.6182212581345;2.60303687635575;6.941431670282;6.50759219088937;13.2321041214751
Hamina;4.40168370414913;16.2357185808779;9.17618761274804;37.0294648226097;4.60613349368611;10.6554419723391;4.19723391461215;13.6981358989778
Hammarland;20.440251572327;2.51572327044025;14.7798742138365;26.7295597484277;6.28930817610063;6.60377358490566;6.60377358490566;16.0377358490566
Hankasalmi;21.3084112149533;13.0218068535826;5.42056074766355;26.2305295950156;4.23676012461059;7.66355140186916;6.91588785046729;15.202492211838
Hanko;0.292340674332489;36.6010524264276;6.06119664782693;34.2623270317677;3.27421555252387;7.44494250633405;3.43013057883454;8.63379458195284
Harjavalta;1.543056246889;35.3160776505724;5.84868093578895;20.3334992533599;3.03633648581384;6.09756097560976;3.65853658536585;24.1662518666003
Hartola;18.0363636363636;21.2363636363636;7.12727272727273;23.6363636363636;5.30909090909091;6.32727272727273;6.54545454545455;11.7818181818182
Hattula;6.51619949035311;9.28285402257008;10.484164543138;21.9876228613032;3.4583181652712;29.8507462686567;4.51401528940663;13.9060793593011
Hausjärvi;10.0871731008717;23.4952262349523;11.0004151100042;23.1216272312163;4.60772104607721;4.89829804898298;7.09838107098381;15.6911581569116
Heinävesi;14.3448275862069;23.1724137931034;5.58620689655172;22.7586206896552;4;6.3448275862069;4.75862068965517;19.0344827586207
Helsinki;0.0988696166661477;6.00146358172703;5.62622613894684;28.9176761228578;24.675624617237;15.8105751564787;6.0307871163288;12.8387776497576
Vantaa;0.367262296988255;13.11775650219;7.61076010698089;46.8157680530253;8.03616419241056;12.278576689019;3.61738827086321;8.15632388852281
Hirvensalmi;21.8406593406593;19.9175824175824;8.24175824175824;19.3681318681319;3.98351648351648;4.80769230769231;6.04395604395604;15.7967032967033
Hollola;6.63864328163502;30.3667198144659;7.81272648209885;21.0900130453689;8.3780258008407;7.39237570662415;4.37744600666763;13.9440498622989
Honkajoki;33.6312849162011;14.3016759776536;6.36871508379888;21.6759776536313;5.13966480446927;6.4804469273743;3.35195530726257;9.05027932960894
Huittinen;12.9172382258802;20.0731595793324;7.08733424782807;28.509373571102;5.46410608139003;6.92729766803841;7.54458161865569;11.4769090077732
Humppila;17.1679197994987;14.9122807017544;7.39348370927318;32.8320802005013;4.63659147869674;6.39097744360902;3.88471177944862;12.781954887218
Hyrynsalmi;19.3971166448231;8.91218872870249;4.45609436435125;28.9646133682831;3.93184796854522;10.0917431192661;7.86369593709043;16.3826998689384
Hyvinkää;0.655808202978014;19.4914798688384;10.0467666505402;28.6566682793098;9.02005052948449;7.69230769230769;5.30559587163361;19.1313229049078
Hämeenkyrö;10.1773771445188;23.6115149752835;8.08374527478918;22.9717941261995;4.24542018028497;6.57167781331782;7.99651061355045;16.3419598720558
Hämeenlinna;3.23920804933463;17.3060694579682;7.38072054527751;24.5829276209023;9.63323596234989;13.5410580980201;6.37455371632587;17.9422265498215
Heinola;2.56318550309967;32.2961373390558;7.04577968526466;23.3786361468765;4.99523128278493;7.67763471626133;5.72246065808298;16.3209346685742
Ii;8.40301003344482;17.2658862876254;13.3779264214047;24.0802675585284;4.30602006688963;9.57357859531773;5.81103678929766;17.1822742474916
Iisalmi;6.16220650056393;20.4757510509587;6.3262585871014;25.8792166512868;6.34676509791859;8.89982569465805;7.3823438941864;18.5276325233262
Iitti;14.2178046672429;29.6888504753673;7.56266205704408;19.533275713051;2.93863439930856;6.39585133967156;4.84010371650821;14.8228176318064
Ikaalinen;9.37917222963952;20.0267022696929;8.67823765020027;22.9305740987984;6.64218958611482;10.2469959946595;7.71028037383178;14.3858477970628
Ilmajoki;17.1526586620926;16.5523156089194;6.08919382504288;23.0131503716409;4.54545454545455;6.46083476272156;10.4059462550029;15.7804459691252
Ilomantsi;15.7700421940928;9.28270042194093;5.59071729957806;25.2637130801688;5.69620253164557;10.2320675105485;5.90717299578059;22.2573839662447
Inari;11.2986565621771;2.44574578022735;5.92490527040992;34.860489149156;6.09714088873579;19.2214950051671;8.81846365828453;11.3331036858422
Inkoo;10.7746478873239;9.36619718309859;20.4225352112676;20.9859154929577;7.95774647887324;11.7605633802817;6.05633802816901;12.6760563380282
Isojoki;28.0660377358491;16.0377358490566;5.54245283018868;20.9905660377358;2.24056603773585;5.42452830188679;4.00943396226415;17.688679245283
Isokyrö;22.2298692360633;12.7322780454233;5.98761183757743;27.5292498279422;3.92291810048176;6.81348933241569;6.19408121128699;14.5905024088094
Imatra;0.863643912971267;29.7541936555389;8.21292144162099;27.6366052150806;6.80950008304268;9.51669157947185;6.35276532137519;10.8536787908985
Jalasjärvi;20.2786377708978;21.9195046439628;4.92260061919505;19.938080495356;3.34365325077399;5.60371517027864;11.5170278637771;12.4767801857585
